0,is so sad for my apl friend
0,i missed the new moon trailer
1,omg its already NUMBER NUMBER neutralemoji
0,omgaga im so im gunna cry i ve been at this dentist since NUMBER i was suposed NUMBER just get a crown put on NUMBER mins
0,i think mi bf is cheating on me sademoji
0,or i just worry too much 
1,just chillin
0,sunny again work tomorrow neutralemoji tv tonight
1,handed in my uniform today i miss you already
1,hm i wonder how she my number
0,i must think about positive
1,thanks to all the haters up in my face all day NUMBER NUMBER 
0,this weekend has sucked so far
0,jb isnt showing in australia any more 
0,ok thats it you win 
0,this is the way i feel right now
0,awhhe man i m completely useless rt now funny all i can do is twitter URL
1,feeling strangely fine now i m gonna go listen to some semisonic to celebrate
0,huge roll of thunder just now so scary
0,i just cut my beard off it s only been growing for well over a year i m gonna start it over USERNAME is happy in the meantime 
0,very sad about iran 
0,womp wompp
1,you re the only one who can see this cause no one else is following me this is for you because you re pretty awesome
0,sad level is NUMBER i was writing a massive blog tweet on myspace and my comp shut down now it s all lost lays in fetal position 
0,headed to hospitol had to pull out of the golf tourny in NUMBER rd place i think i re ripped something yeah that
0,boring whats wrong with him please tell me sademoji
0,can t be bothered i wish i could spend the rest of my life just sat here and going to gigs seriously 
0,feling like shit right now i really want to sleep but no i have NUMBER hours of dancing and an art assignment to finish
1,goodbye exams hello alcohol tonight
0,i didn t realize it was that deep geez give a girl a warning atleast 
0,i hate it when any athlete appears to tear an acl on live television 
0,i miss you guys too i think i m wearing skinny jeans a cute sweater and heels not really sure what are you doing today
0,meet your meat URL
0,my horsie is moving on saturday morning 
0,no sat off need to work NUMBER days a week
0,really dont like doing my room its so boring sick of doing my wardrobe out cant waiit till i have my walk in one yay
0,sox floyd was great but relievers need a scolding
0,times by like a million
1,uploading pictures on friendster
0,what type of a spaz downloads a virus my brother that s who sademoji msn is now fucked forever sademoji
0,amp amp fightiin wiit the babes
1,so i wrote something last week and i got a call from someone in the new york office URL
0,enough said 
1,do i need to even say it do i well here i go anyways chris cornell in chicago tonight
1,health class what a joke
1,USERNAME NUMBER go to the show tonight
0,USERNAME USERNAME it really makes me sad when i look at muslims reality now
0,all time low shall be my motivation for the rest of the week 
0,and the entertainment is over someone complained properly USERNAME experimental you say he should experiment with a melody 
0,another year of lakers that s neither magic nor fun
0,baddest day eveer 
1,bathroom is clean now on to more enjoyable tasks
1,boom boom pow
0,but i m proud 
0,congrats to helio though
0,david must be hospitalized for five days end of july palatine tonsils i will probably never see katie in concert 
0,friends are leaving me cause of this stupid love URL
1,go give ur mom a hug right now URL
1,going to see harry sunday happiness
0,hand quilting it is then
0,hate u leysh t NUMBER ar NUMBER
1,i always get what i want
1,i bend backwards
1,i get off work son i miss cody bo haven t seen him in foreverr 
1,i hate allergies should i get my hair cut tomorrow i m taking a public poll
0,i love you guys so much that it hurts URL
0,i miss earl
0,i miss new jersey
0,i missed the first hour of sytycd last night and i can t find it online
0,i need a u NUMBER fix now 
0,i never thought i d become second choice
0,i think i may be too friendly lol o well
0,i think manuel my basil plant only has days to live
0,i wanna be at home church i wonder wht they are doing 
0,i wanna make my own pizza
0,i want a NUMBER gb harddrive or a NUMBER inch tv or a new guitar anyonefeeling generous p x 
0,i want a hug
0,i want miley to tour australia
0,i wanted to sleep in this morning but a mean kid through a popsicle stick at me head i wish i could fly away like those squirrels
0,i was too slow to get NUMBER up tix
0,i will send sunshine to northern ireland are you going swimming today USERNAME 
0,i wish i could go to t NUMBER on the beach sademoji would be great to see USERNAME amp USERNAME
0,i would be so much happier if the walls of my bedroom were painted white 
0,idk wat NUMBER do who can i trust me im sorry NUMBER all da pain i have caused nebody ima take dis time out NUMBER straighten myself out i luv yall
0,i m finding the intercept slope and banging my head against the wall math brain heads come save me
1,i m really going to bed now
0,im sick cough cough 
0,in cab headed to the airport going home christy 
0,in case i feel emo in camp feeling a wee bit of it alr am bringing in the human rights watch world report NUMBER hope it ll work
1,jin has a twitter 
0,jonas day is almost over
0,jus got hom fr tda funeral i m so sad i cried so much times much love grandpa NUMBER i never got to say my last quot goodbye quot to him 
1,just gonna smile cuz it is what it is and im not sure what more they could want
1,just got home and i got to see my friend zahra whom i haven t seen since we graduated that makes me so happy
0,longest night ever ugh URL
0,mi momacita won t let me go to my bf s bball game gr
0,mom says i have to get a new phone immediately off to t mobile she paying
0,my new car was stolen by my mother who wanted to go pose at church 
0,no hang out with the girls NUMBER day NUMBER moro hope so
0,no movie times for sunday rats will have to plan tomorrow i guess this means i have to work on those two presentations i am doing 
0,no pavel tonight tigersfan
0,not a cool night 
1,oh thank you 
1,pleased
0,probably guna get off soon since no one is talkin no more
0,really wanted safina to pull out a win amp to lose like that
0,rip david eddings
1,rose and ood will be back in the xmas who special yay damn that s half a year away 
0,sannesias aww no neighbor we need to watch mean girls happyemoji URL
0,so whats the status on next weekend
0,sorry USERNAME the ex husband has overdosed on his daily dose of haterade
0,thanks for your definition of throwbie editors reviewed your entry and have decided to not publish it 
1,thanks i need all the help i can get
1,that explains alot 
1,there s going to be a heathers sequel winona NUMBER ever they better not fuck it up 
0,told not to drink w my rx so just gave all the b b porter amp obs stout that i brought home from or to my neighbors v v sad
1,trae is so sweet he just bought me a new baithing suit wove him
1,true highly subjective of me there tombre was actually my favorite character in the book you got me URL rishabh 
0,u guys knw whyy
0,very much so
0,waah now i m getting sad miss hub quot quot quot quot quot quot quot quot 
0,we were standing out in the pouring rain we were sitting on top of the world summer sucks
0,went to get dog from vets theyve stitched her ear charged us for it but she still bleeds like a waterfall everytime she moves sademoji why
0,where is my picture i feel naked
0,why aren t there any trains going to manchester on a sunday now i can t go to the USERNAME concert 
0,why must people be so picky i mean NUMBER hours work and no dice what s up with that URL
0,why twitter will soon become obsolete URL
1,wide awake not
1,yeah me too its been awful weather here for the last week so that stinks kristis comin down and moe said maybe he take us for
0,you hi stranger hello i am frank lampard how are you you fine you and urself stranger i am gay your URL
0,you ll always be my one and only NUMBER NUMBER NUMBER
0,HASHTAG this shit sucks
0,HASHTAG j NUMBER panel is over guess it s back to normal life 
1,HASHTAG started by USERNAME
0,HASHTAG brighten my bad day i never win anything
0,HASHTAG boyle didnt win mh well diversity was very good though congratz
0,HASHTAG
